Authors,Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
"Mahdavian A., Minaei S., Marchetto P.M., Almasganj F., Rahimi S., Yang C.","Acoustic features of vocalization signal in poultry health monitoring",2021,"Applied Acoustics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098090156&doi=10.1016%2fj.apacoust.2020.107756&partnerID=40&md5=07756cf77e4eafed43c1c039072de4b5","In precision livestock farming, studies show that bird sound can be employed as a biomarker of health condition. One of the most important steps for this purpose is to study the feasibility of using acoustic features as criteria for disease diagnosis. In this research five acoustic features of bird calls were evaluated for determination of bird health condition. Signals were collected from broilers grown in three groups: control, challenged with Bronchitis, and challenged with Newcastle disease. Results of data analysis showed that, among the 5 acoustic features studied, wavelet entropy (WET) had the best performance and was able to detect Bronchitis on the third day after inoculation with 83% accuracy while the type II error in this test (incorrectly detecting sick bird as healthy) was less than 14% and 6% on the third day and fourth day, respectively. In the case of Newcastle disease, although WET and Mel cepstral coefficients (MFCC) exhibited similar accuracy (80% and 78% respectively on the fourth day), but the difference was that WET was more reliable in detecting healthy birds while MFCC had better performance detecting challenged birds. © 2020","Audio features; Bioacoustics; Health monitoring; Precision livestock farming; Respiratory diseases","Agriculture; Birds; Diagnosis; Disease control; Acoustic features; Cepstral coefficients; Disease diagnosis; Health condition; Health monitoring; Precision livestock farming; Type II error; Wavelet entropies; Bioacoustics"
"Tassinari P., Bovo M., Benni S., Franzoni S., Poggi M., Mammi L.M.E., Mattoccia S., Di Stefano L., Bonora F., Barbaresi A., Santolini E., Torreggiani D.","A computer vision approach based on deep learning for the detection of dairy cows in free stall barn",2021,"Computers and Electronics in Agriculture","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100664602&doi=10.1016%2fj.compag.2021.106030&partnerID=40&md5=a9cb83b5066ee3c3b675d5deee6f0fb7","Precision Livestock Farming relies on several technological approaches to acquire in the most efficient way precise and up-to-date data concerning individual animals. In dairy farming, particular attention is paid to the automatic cow detection and tracking, as such information is closely related to animal welfare and thus to possible health issues. Computer vision represents a suitable and promising method for this purpose. This paper describes the first step for the development of a computer vision system, based on deep learning, aiming to recognize in real-time the individual cows, detect their positions, actions and movements and record the time history outputs for each animal. Specifically, a neural network based on deep learning techniques has been trained and validated on a case study farm, for the automatic recognition of individual cows in videos recorded in the barn. Four cows were selected to train and validate a YOLO neural network able to recognize a cow starting from the coat pattern. Then, precision-recall curves of the identification of individual cows were elaborated for both the specific target classes and the whole dataset in order to assess the performances of the network. By means of data augmentation techniques, an enlarged dataset has been created and considered in order to improve the performance of the network and to provide indications to increase detection efficiency in those cases where data acquisition is not easy to be carried out for long periods. The mean average precision of the detection, ranging from 0.64 to 0.66, showed that it is possible to properly identify individual cows based on their morphological appearance and that the piebald spotting pattern of a cow's coat represents a clearly distinguishable object for a computer vision network. The results also led to obtain indications about the quantity and the characteristics of the images to be used for the network training in order to achieve efficient detections when facing with applications involving animals. © 2021 Elsevier B.V.","Computer vision; Dairy cow; Deep learning; Herd management; Precision livestock farming","Animals; Computer vision; Data acquisition; Farm buildings; Learning systems; Neural networks; Automatic recognition; Computer vision system; Detection and tracking; Detection efficiency; Efficient detection; Identification of individuals; Learning techniques; Precision livestock farming; Deep learning"
"Liu D., Vranken E., van den Berg G., Carpentier L., Peña Fernández A., He D., Norton T.","Separate weighing of male and female broiler breeders by electronic platform weigher using camera technologies",2021,"Computers and Electronics in Agriculture","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100682860&doi=10.1016%2fj.compag.2021.106009&partnerID=40&md5=54a61d2489b7652dc72bcbd6c8430896","The body weight of breeding broiler chickens (broiler breeders) is an important control variable used to optimize the amount, quality and fertility of the eggs being laid. In modern breeding barns, the population of animals generally supports a female:male ratio of 10:1, wherein males and females each receive their own food supply. To control this supply the broiler breeders are weighed using automatic electronic platform weighers and the weights are then classified into cockerel and hen categories using theoretical growth curves. However, due to the non-uniform growth of the animals and replacement (called spiking) of cockerals this classification is not always correct, causing a risk of under/over feeding of the population. To overcome this challenge, in this study we have developed a system that integrates the electronic platform weigher with the low-cost 3D Kinect camera was employed to separate weigh male and female broiler breeders under commercial conditions. A novel image processing algorithm is proposed. The algorithm first constructed the Height Accumulating Image (HAI) using depth image to locate the region of interest (ROI) where a broiler breeder jumps onto the weigher, then the comb size was calculated on RGB image as the gender classifying feature, and finally, an adaptive classification threshold was determined by the kernel density estimation using the recent days comb size measurements. The results showed that enough measurements can be obtained for estimating overall weight expectation with the average acceptance rate of 77.32%. Based on these accepted measurements, the accuracy, sensitivity, precision, and specificity were 99.7%, 98.82%, 100% and 100% respectively. © 2021 Elsevier B.V.","Broiler breeder; Image processing; Precision Livestock Farming; Weighing","Animals; Cameras; Costs; Food supply; Image segmentation; Population statistics; Adaptive classification; Camera technology; Control variable; Electronic platforms; Image processing algorithm; Kernel Density Estimation; Size measurements; The region of interest (ROI); Quality control; Gallus gallus"
"Wagner N., Mialon M.-M., Sloth K.H., Lardy R., Ledoux D., Silberberg M., de Boyer des Roches A., Veissier I.","Detection of changes in the circadian rhythm of cattle in relation to disease, stress, and reproductive events",2021,"Methods","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091228192&doi=10.1016%2fj.ymeth.2020.09.003&partnerID=40&md5=c02a6cdadd515f66b6722a5745cd0472","Disease and stress can disrupt the circadian rhythm of activity in animals. Sensor technologies can automatically detect variations in daily activity, but it remains difficult to detect exactly when the circadian rhythm disruption starts. Here we report a mathematical Fourier-Based Approximation with Thresholding (FBAT) method designed to detect changes in the circadian activity rhythm of cows whatever the cause of change (typically disease, stress, oestrus). We used data from an indoor positioning system that provides the time per hour spent by each cow resting, in alleys, or eating. We calculated the hourly activity level of each cow by attributing a weight to each activity. We considered 36-h time series and used Fourier transform to model the variations in activity during the first and last 24 h of these 36-h series. We then compared the Euclidian distance between the two models against a given threshold above which we considered that rhythm had changed. We tested the method on four datasets (giving a cumulative total of ~120000 cow*days) that included disease episodes (acidosis, lameness, mastitis or other infectious diseases), reproductive events (oestrus or calving) and external stimuli that can stress animals (e.g. relocation). The method obtained over 80% recall of normal days and detected 95% of abnormal rhythms due to health or reproductive events. FBAT could be implemented in precision livestock farming system monitoring tools to alert caretakers to individual animals needing specific care. The FBAT method also has the potential to detect anomalies in humans to guide healthcare intervention or in wild animals to detect disturbances. We anticipate that chronobiological studies could apply FBAT to help relate circadian rhythm anomalies to specific events. © 2020 Elsevier Inc.","Chronobiology; Disease; Fourier transform; Oestrus; Precision Livestock Farming; Stress",
"Zeng Z., Zeng F., Han X., Elkhouchlaa H., Yu Q., Lü E.","Real‐time monitoring of environmental parameters in a commercial gestating sow house using a zigbee‐based wireless sensor network",2021,"Applied Research on English Language","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099705001&doi=10.3390%2fapp11030972&partnerID=40&md5=45f6c7b58874f8570cc9244edb6b89bf","Significant intensification in livestock farming has become prevalent to meet the increas-ing meat production demand, resulting in a higher density of pigs in relatively small areas in a commercial swine building. The subsequent challenges of maintaining the quality of both routine management and environmental comfort of pigs to minimize the loss of both pigs’ health and welfare can be attained by implementing autonomous monitoring and intelligent management deci-sions based on precision livestock farming (PLF). A three‐layer wireless sensor network (WSN) based on ZigBee technology has been devised to monitor four environmental parameters in real-time, namely: temperature, relative humidity, concentrations of carbon dioxide and ammonia in a commercial gestating sow house. The overall packet loss rate of the WSN system which reported 16,371 records from its 41 indoor slave nodes in a 10‐min interval for three consecutive days was 4%. The carbon dioxide sensors had an average outlier rate of 6.5% after a series of preprocessing procedures. The spatial and temporal characteristics showed that the carbon dioxide level exceeded the limit of 2700 mg/m3 twice during both 07:00–08:00 and 14:00–15:00. Besides, the overall NH3 concentration in the swine building was maintained in a relatively low‐level range with a maximum of less than 8 mg/m3. In sum, the real‐time monitoring and timely intervention of microclimate in this commercial gestating sow house can be achieved by deploying this WSN system, thereby making it possible to provide an intelligent decision on precise management of livestock automatically. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Environmental monitoring; Pig house; Wireless sensor network; ZigBee",
"Cogato A., Brščić M., Guo H., Marinello F., Pezzuolo A.","Challenges and tendencies of automatic milking systems (AMS): A 20-years systematic review of literature and patents",2021,"Animals","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100041712&doi=10.3390%2fani11020356&partnerID=40&md5=21aa8d9d1877576bbf18d89eec3e9d05","Over the last two decades, the dairy industry has adopted the use of Automatic Milking Systems (AMS). AMS have the potential to increase the effectiveness of the milking process and sustain animal welfare. This study assessed the state of the art of research activities on AMS through a systematic review of scientific and industrial research. The papers and patents of the last 20 years (2000–2019) were analysed to assess the research tendencies. The words appearing in title, abstract and keywords of a total of 802 documents were processed with the text mining tool. Four clusters were identified (Components, Technology, Process and Animal). For each cluster, the words frequency analysis enabled us to identify the research tendencies and gaps. The results showed that focuses of the scientific and industrial research areas complementary, with scientific papers mainly dealing with topics related to animal and process, and patents giving priority to technology and components. Both scientific and industrial research converged on some crucial objectives, such as animal welfare, process sustainability and technological development. Despite the increasing inter-est in animal welfare, this review highlighted that further progress is needed to meet the consumers’ demand. Moreover, milk yield is still regarded as more valuable compared to milk quality. There-fore, additional effort is necessary on the latter. At the process level, some gaps have been found related to cleaning operations, necessary to improve milk quality and animal health. The use of farm data and their incorporation on herd decision support systems (DSS) appeared optimal. The results presented in this review may be used as an overall assessment useful to address future research. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Automation; Dairy farming; Milking; Precision livestock farming; Robotic milking","animal health; automation; cleaning; consumer; dairying; decision support system; frequency analysis; human; literature; livestock; milk yield; mining; nonhuman; patent; review; systematic review"
"Giersberg M.F., Meijboom F.L.B.","Smart Technologies Lead to Smart Answers? On the Claim of Smart Sensing Technologies to Tackle Animal Related Societal Concerns in Europe Over Current Pig Husbandry Systems",2021,"Frontiers in Veterinary Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099729473&doi=10.3389%2ffvets.2020.588214&partnerID=40&md5=f42eb3a3f08b9b541de5fc6612e02fe1","Current pig production systems in Europe are subject to public criticism. At the same time, Precision Livestock Farming (PLF) technologies, which allow for automated animal monitoring are entering commercial pig farms. With their claim of improving animal health and welfare, these innovations may respond to public concerns. However, they may raise problems of societal acceptance themselves. In this review, we investigate whether the available literature allows for an analysis to which extent PLF can mitigate or reinforce societal concerns related to pig production. We first analyze papers on pig husbandry systems in general, and then those on PLF as an innovation in animal production. In general, there is a tension between citizens and farmers. Citizens hold rather negative attitudes whereas farmers evaluate pig production more positively. Literature on attitudes of other actors, such as veterinarians, is missing. Information on the attitudes toward PLF of stakeholders other than farmers is lacking. Possible challenges of societal acceptance of PLF and chances to overcome these are only discussed in theoretical approaches. We conclude that to analyze the role of PLF in addressing societal concerns over pig production, there is a need for further empirical research including attention to underlying values of all stakeholders. This should focus on the attitudes of the currently missing stakeholders toward pig husbandry in general, and on those of the wider society toward PLF. Only by means of additional data, it will be possible to evaluate whether PLF has the potential to address societal concerns related to pig production. © Copyright © 2021 Giersberg and Meijboom.","attitude; perception; pig production; precision livestock farming; society","agricultural worker; animal experiment; attention; attitude; empirical research; Europe; livestock; nonhuman; perception; pig; review; social acceptance; tension; veterinarian"
"Neethirajan S., Reimert I., Kemp B.","Measuring farm animal emotions—sensor-based approaches",2021,"Sensors (Switzerland)","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099385398&doi=10.3390%2fs21020553&partnerID=40&md5=a0e3f90e4cb0621a72d64a353085da4e","Understanding animal emotions is a key to unlocking methods for improving animal wel-fare. Currently there are no ‘benchmarks’ or any scientific assessments available for measuring and quantifying the emotional responses of farm animals. Using sensors to collect biometric data as a means of measuring animal emotions is a topic of growing interest in agricultural technology. Here we reviewed several aspects of the use of sensor-based approaches in monitoring animal emotions, beginning with an introduction on animal emotions. Then we reviewed some of the available tech-nological systems for analyzing animal emotions. These systems include a variety of sensors, the algorithms used to process biometric data taken from these sensors, facial expression, and sound analysis. We conclude that a single emotional expression measurement based on either the facial feature of animals or the physiological functions cannot show accurately the farm animal’s emotional changes, and hence compound expression recognition measurement is required. We propose some novel ways to combine sensor technologies through sensor fusion into efficient systems for monitoring and measuring the animals’ compound expression of emotions. Finally, we explore future perspectives in the field, including challenges and opportunities. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.","Animal emotions; Animal welfare; Animal-based measures; Behavior; Farm animals; Precision livestock farming; Sensors","Agricultural robots; Biometrics; Agricultural technologies; Compound expressions; Emotional expressions; Emotional response; Facial Expressions; Future perspectives; Physiological functions; Sensor technologies; Animals"
"Odintsov Vaintrub M., Levit H., Chincarini M., Fusaro I., Giammarco M., Vignola G.","Review: Precision livestock farming, automats and new technologies: possible applications in extensive dairy sheep farming",2021,"Animal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100690818&doi=10.1016%2fj.animal.2020.100143&partnerID=40&md5=250240a520f054085ebf98a9941537eb","Precision livestock farming (PLF) technologies are becoming increasingly common in modern agriculture. They are frequently integrated with other new technologies in order to improve human–livestock interactions, productivity and economical sustainability of modern farms. New systems are constantly being developed for concentrated farming operations as well as for extensive and pasture-based farming systems. The development of technologies for grazing animals is of particular interest for the Mediterranean extensive sheep farming sector. Dairy sheep farming is a typical production system of the area linked to its historical and cultural traditions. The area provides roughly 40% of the world sheep milk, having 27% of the milk-producing ewes. Developed countries of the area (France, Italy, Greece and Spain – FIGS) have highly specialized production systems improved through animal selection, feeding techniques and intensification of production. However, extensive systems are still practiced alongside intensive ones due to their lower input costs and better resilience to market fluctuations. In the current article, we evaluate possible PLF systems and their suitability to be incorporated in extensive dairy sheep farming as practiced in the FIGS countries. Available products include: electronic identification systems (now mandatory in the EU) such as ear tags, ruminal boluses and sub-cutaneous radio-frequency identification; on-animal sensors such as accelerometers, global positioning systems and social activity loggers; and stationary management systems such as walk-over-weights, automatic drafter (AD), virtual fencing and milking parlour-related technologies. The systems were considered according to their suitability for the management and business model common in dairy sheep farming. However, adoption of new technologies does not take place immediately in small and medium scale extensive farming. As sheep farmers usually belong to more conservative technology consumers, characterized by an average age of 60 and a very transparent community, the dynamics do not favour financial risk taking involved with new technologies. Financial barriers linked to production volumes and resource management of extensive farming are also a barrier for innovation. However, future prospectives could increase the importance of technology and promote its wider adoption. Trends such as global sheep milk economics, global warming, awareness to animal welfare, antibiotics resistance and European agricultural policies could influence the farming practices and stimulate wider adoption of PLF systems in the near future. © 2020 The Authors","Extensive farming; Farmer's acceptance; New technologies; Precision livestock farming; Sheep",
"Dolezel P., Stursa D., Honc D., Merta J., Rozsivalova V., Beran L., Hora I.","Counting Livestock with Image Segmentation Neural Network",2021,"Advances in Intelligent Systems and Computing","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091266544&doi=10.1007%2f978-3-030-57802-2_23&partnerID=40&md5=fe6f6a4d5c046cafd9a2e1c8915846d0","Livestock farming industries, as well as almost any industry, want more and more data about the operation of their business and activities in order to make the right decisions. However, especially when considering very large animal farms, the precise and up-to-date information about the position and numbers of the animals is rather difficult to obtain. In this contribution, a novel engineering approach to livestock positioning and counting, based on image processing, is proposed. The approach is composed of two parts. Namely, a fully convolutional neural network for input image transformation, and a locator for animal positioning. The transformation process is designed in order to transform the original RGB image into a gray-scale image, where animal positions are highlighted as gradient circles. The locator then detects the positions of the circles in order to provide the positions of animals. The presented approach provides a precision rate of 0.9842 and a recall rate of 0.9911 with the testing set, which is, in combination with a rather suitable computational complexity, a good premise for the future implementation under real conditions. © 2021, The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG.","Fully convolutional neural network; Livestock counting; Precision agriculture; U-Net","Agriculture; Animals; Convolutional neural networks; Soft computing; Gray-scale images; Input image; Livestock farming; Precision rates; Recall rate; RGB images; Transformation process; Image segmentation"
