Authors,Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
"Tassinari P., Bovo M., Benni S., Franzoni S., Poggi M., Mammi L.M.E., Mattoccia S., Di Stefano L., Bonora F., Barbaresi A., Santolini E., Torreggiani D.","A computer vision approach based on deep learning for the detection of dairy cows in free stall barn",2021,"Computers and Electronics in Agriculture","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100664602&doi=10.1016%2fj.compag.2021.106030&partnerID=40&md5=a9cb83b5066ee3c3b675d5deee6f0fb7","Precision Livestock Farming relies on several technological approaches to acquire in the most efficient way precise and up-to-date data concerning individual animals. In dairy farming, particular attention is paid to the automatic cow detection and tracking, as such information is closely related to animal welfare and thus to possible health issues. Computer vision represents a suitable and promising method for this purpose. This paper describes the first step for the development of a computer vision system, based on deep learning, aiming to recognize in real-time the individual cows, detect their positions, actions and movements and record the time history outputs for each animal. Specifically, a neural network based on deep learning techniques has been trained and validated on a case study farm, for the automatic recognition of individual cows in videos recorded in the barn. Four cows were selected to train and validate a YOLO neural network able to recognize a cow starting from the coat pattern. Then, precision-recall curves of the identification of individual cows were elaborated for both the specific target classes and the whole dataset in order to assess the performances of the network. By means of data augmentation techniques, an enlarged dataset has been created and considered in order to improve the performance of the network and to provide indications to increase detection efficiency in those cases where data acquisition is not easy to be carried out for long periods. The mean average precision of the detection, ranging from 0.64 to 0.66, showed that it is possible to properly identify individual cows based on their morphological appearance and that the piebald spotting pattern of a cow's coat represents a clearly distinguishable object for a computer vision network. The results also led to obtain indications about the quantity and the characteristics of the images to be used for the network training in order to achieve efficient detections when facing with applications involving animals. © 2021 Elsevier B.V.","Computer vision; Dairy cow; Deep learning; Herd management; Precision livestock farming","Animals; Computer vision; Data acquisition; Farm buildings; Learning systems; Neural networks; Automatic recognition; Computer vision system; Detection and tracking; Detection efficiency; Efficient detection; Identification of individuals; Learning techniques; Precision livestock farming; Deep learning"
"Neethirajan S., Kemp B.","Social network analysis in farm animals: Sensor-based approaches",2021,"Animals","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100554976&doi=10.3390%2fani11020434&partnerID=40&md5=cc2b513ad65e8f1c518ce46c74639571","Natural social systems within animal groups are an essential aspect of agricultural op-timization and livestock management strategy. Assessing elements of animal behaviour under domesticated conditions in comparison to natural behaviours found in wild settings has the potential to address issues of animal welfare effectively, such as focusing on reproduction and production success. This review discusses and evaluates to what extent social network analysis (SNA) can be incorporated with sensor-based data collection methods, and what impact the results may have concerning welfare assessment and future farm management processes. The effectiveness and critical features of automated sensor-based technologies deployed in farms include tools for measuring animal social group interactions and the monitoring and recording of farm animal behaviour using SNA. Comparative analyses between the quality of sensor-collected data and traditional observa-tional methods provide an enhanced understanding of the behavioural dynamics of farm animals. The effectiveness of sensor-based approaches in data collection for farm animal behaviour measure-ment offers unique opportunities for social network research. Sensor-enabled data in livestock SNA addresses the biological aspects of animal behaviour via remote real-time data collection, and the results both directly and indirectly influence welfare assessments, and farm management processes. Finally, we conclude with potential implications of SNA on modern animal farming for improvement of animal welfare. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Community structure; Information transfer; Livestock; Sensing technology; Social behaviour",
"Cogato A., Brščić M., Guo H., Marinello F., Pezzuolo A.","Challenges and tendencies of automatic milking systems (AMS): A 20-years systematic review of literature and patents",2021,"Animals","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100041712&doi=10.3390%2fani11020356&partnerID=40&md5=21aa8d9d1877576bbf18d89eec3e9d05","Over the last two decades, the dairy industry has adopted the use of Automatic Milking Systems (AMS). AMS have the potential to increase the effectiveness of the milking process and sustain animal welfare. This study assessed the state of the art of research activities on AMS through a systematic review of scientific and industrial research. The papers and patents of the last 20 years (2000–2019) were analysed to assess the research tendencies. The words appearing in title, abstract and keywords of a total of 802 documents were processed with the text mining tool. Four clusters were identified (Components, Technology, Process and Animal). For each cluster, the words frequency analysis enabled us to identify the research tendencies and gaps. The results showed that focuses of the scientific and industrial research areas complementary, with scientific papers mainly dealing with topics related to animal and process, and patents giving priority to technology and components. Both scientific and industrial research converged on some crucial objectives, such as animal welfare, process sustainability and technological development. Despite the increasing inter-est in animal welfare, this review highlighted that further progress is needed to meet the consumers’ demand. Moreover, milk yield is still regarded as more valuable compared to milk quality. There-fore, additional effort is necessary on the latter. At the process level, some gaps have been found related to cleaning operations, necessary to improve milk quality and animal health. The use of farm data and their incorporation on herd decision support systems (DSS) appeared optimal. The results presented in this review may be used as an overall assessment useful to address future research. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Automation; Dairy farming; Milking; Precision livestock farming; Robotic milking","animal health; automation; cleaning; consumer; dairying; decision support system; frequency analysis; human; literature; livestock; milk yield; mining; nonhuman; patent; review; systematic review"
"Yang W., Edwards J.P., Eastwood C.R., Dela Rue B.T., Renwick A.","Analysis of adoption trends of in-parlor technologies over a 10-year period for labor saving and data capture on pasture-based dairy farms",2021,"Journal of Dairy Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095603192&doi=10.3168%2fjds.2020-18726&partnerID=40&md5=c141a40cd0506c9c19432846bed757f6","The use of precision technology is increasingly seen as an option to improve productivity, animal welfare, resource use efficiency, and workplace features on dairy farms. There is limited research related to longitudinal adoption patterns of precision dairy technologies and reasons for any patterns. The aim of this analysis was to investigate trends in technology adoption regarding both the amount (number of farms with a technology) and intensity (number of technologies per farm) of adoption. Surveys of parlor technology adoption were conducted on New Zealand dairy farms in 2008, 2013, and 2018, with 532, 500, and 500 respondents, respectively. Technologies were grouped into labor-saving (LS, such as automatic cluster removers) or data-capture (DC, such as in-line milk meters) categories. Trends were examined for farms that had only LS, only DC, or LS+DC technologies. Technology adoption increased over time; the likelihood of technology adoption in 2018 (and 2013 in parentheses) increased by 21 (22), 7 (68), and 378% (165) for LS, DC, and LS+DC technology groups, respectively, compared to 2008. Farms with LS+DC technologies also had a greater proportion of LS technologies compared to non-LS+DC farms, although this relationship declined over the 10-yr period. The use of a rotary versus herringbone parlor was estimated to be associated with 356 and 470% increase in the likelihood of adopting LS technologies and LS+DC, respectively, from 2008 to 2018. Regional differences in adoption were also found, with the likelihood of adopting DC and LS+DC technologies found to be 46 and 59% greater, respectively, in the South Island of New Zealand, compared to the base region of Waikato. The results highlight the importance of understanding spatial and temporal farm characteristics when considering future effect and adoption of precision dairy technologies. For example, the analysis indicates the occurrence of 2 trajectories to technology investment on farms, where larger farms are able to take advantage of technology opportunities, but smaller farms may be constrained by factors such as lack of economies of scale, limited capital to invest, and inability to retrofit technology into aging parlor infrastructure. © 2021 American Dairy Science Association","adoption; dairy; data capture; investment; labor saving; technology","adoption; adult; aging; agricultural land; article; female; human; human experiment; investment; major clinical study; male; milk; New Zealand; pasture"
"von Kuhlberg M.K., Wensch-Dorendorf M., Gottschalk J., Wagner T., Herrmann N., Einspanier A.","The effects of a training program using a phantom to accustom heifers to the automatic milking system",2021,"Journal of Dairy Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095586507&doi=10.3168%2fjds.2020-18715&partnerID=40&md5=b2ede91743eed438354fb1a2d429ac4d","The introduction of heifers into the automatic milking system (AMS) can be associated with considerable stress for both animals and farm employees, as completely inexperienced heifers initially do not independently enter the unknown milking robot. This study investigated whether training heifers on an AMS phantom provides the possibility of preparing heifers for the following lactation at the AMS. For this purpose, 77 Holstein-Friesian heifers were randomly assigned to one of 2 experimental groups: control (CON) or phantom (PHAN). Four weeks before calving, the PHAN group was given free access to the phantom, which was similar to the actual milking robot, so that they could explore it and be positively conditioned by feeding concentrate in the phantom. The heifers of the CON group had no contact with the phantom or the AMS before the first milking at the AMS. The milking frequency per animal per day was recorded, and the proportion of animals that had to be fetched for milking was determined, to evaluate how the animals accepted the AMS after calving. To assess the stress level of the animals before and after introduction into the AMS, fecal cortisol concentrations and rumination times of the animals were measured. Additionally, lactation performance characteristics (milk yield, milk flow, electrical conductivity of milk, and milk composition) were recorded for 77 animals. The animals trained on the phantom showed a higher milking frequency (DIM 7: 2.70 ± 0.14 visits/d) than the control animals (DIM 7: 2.41 ± 0.14 visits/d) between the 4th and 10th day of lactation. In addition, between d 1 and d 5, the proportion of animals that had to be fetched for milking was lower in PHAN (DIM 1: 35.18 ± 4.16%) than in CON (DIM 1: 48.03 ± 4.46%). The PHAN heifers had unexpectedly high fecal cortisol levels (1 wk prepartum: 43.50 ± 0.93 ng/g of feces), although not considerably elevated compared with CON (1 wk prepartum: 40.76 ± 1.05 ng/g of feces). Training on the phantom had no appreciable influence on rumination time and lactation performance parameters. The increased number of milking visits and the reduced proportion of animals that had to be fetched into the AMS for milking indicate that training on the phantom prepares the animals well for being milked in the AMS. Therefore, training heifers on the phantom offers the possibility to facilitate the start into early lactation for the animals, providing a valuable contribution to improvement of animal welfare. © 2021 American Dairy Science Association","adaptation; automatic milking; cortisol; heifer",
"Kuczaj M., Mucha A., Kowalczyk A., Mordak R., Czerniawska-Piatkowska E.","Relationships between selected physiological factors and milking parameters for cows using a milking robot",2020,"Animals","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095986540&doi=10.3390%2fani10112063&partnerID=40&md5=640233777d13baafd2e6d8b151e5357f","The aim of the study was to determine the effect of the number and stage of lactations, time of day and calving season of cows on milk yield from a single milking, average milking time, average milking per minute, daily milking frequency and the relationship between the tested parameters of quarter milking. The study included a herd of 65 Polish Holstein Friesian black and white cows used in a free-range barn located in south-west Poland. The animals were kept in proper welfare conditions, fed using the partly mixed ration (PMR) method on the feeding table. The milk was obtained using the Lely-Astronaut A4 Automatic Milking System (AMS). The animals on the dairy cattle farm were used in the range from the first to the seventh lactation, i.e., at the age of 2.0 to approximately 10 years. In this study, the amount of milk yielded from the hind quarters was statistically significantly higher (p < 0.05) than the trait determined for the front quarters. At the same time, the milk flow rate was statistically significantly higher (p < 0.05) in the front quarters compared to the rear quarters. The daily milk yield in right rear (RR) and left rear (LR) hind quarters was higher by 1.0 kg of milk, respectively, than in right front (RF) and left front (LF) fore quarters. The milking time of the RR and LR hind quarters during the day was longer by 104.9 and 128.8 s, respectively, than the RF and LF fore quarters. The milking speed of the RR and LR hind quarters during the day was lower by 0.2 and 1.12 g/s, respectively, than in the RF and LF fore quarters. The values of the correlation between the yields of milk and its components obtained in this study were high and positive. Correlations between the milk yield and the content of its components were negative. The obtained results confirmed that the natural physiological variability of the udder and teats structure, as well as the course of lactation, significantly affects the individual composition and milk flow during milking. The ability to regulate the milk flow by adjusting the appropriate negative pressure during the robot’s operation, in the observed variability of individual lobes of the mammary gland, increases the efficiency of milking and, as a result, reduces the risk of mastitis in cows. © MDPI AG. All rights reserved.","Cattle; Milk yield and composition; Milking parameters; Milking robot; Number and stage of lactations; Time of day and year",
"Krueger A., Cruickshank J., Trevisi E., Bionaz M.","Systems for evaluation of welfare on dairy farms",2020,"Journal of Dairy Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089948487&doi=10.1017%2fS0022029920000461&partnerID=40&md5=4b710e1ffdab27577671bc6922c3339d","Animal welfare is an essential component of dairy production and several systems exist to evaluate the welfare of dairy cows. Here, we review and compare three well-known systems that operate at farm level from around the world (FARM, Welfare Quality®, and The Code of Welfare) and discuss their advantages and limitations. Despite having some commonalities, the programs evaluate different elements. We also briefly review an emerging system (Integrated Diagnostic Welfare System) that might address some of the shortcomings of the existing systems, especially the possibility of automating the evaluation of animal well-being and identifying any cause of poor welfare. None of the aforementioned systems has been fully validated for their ability to assess animal welfare using independent measurements. The future holds increased attention around the well-being of dairy cows and increased use of sensing technologies. There is an urgent need for dairy welfare evaluation systems that are scientifically validated, holistic, and that can take advantage of the use of sensing technologies to continuously monitor animal welfare. Copyright © The Author(s), 2020. Published by Cambridge University Press on behalf of Hannah Dairy Research Foundation.","Animal well-being; dairy cattle; welfare evaluation system","agricultural land; animal well-being; article; attention; dairy cattle; nonhuman"
"Leliveld L.M.C., Provolo G.","A review of welfare indicators of indoor-housed dairy cow as a basis for integrated automatic welfare assessment systems",2020,"Animals","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089663419&doi=10.3390%2fani10081430&partnerID=40&md5=583995c1f027e6b85f7929ae41f99ef3","For on-farm welfare assessment many automatic methods have been developed to detect indicators of reduced welfare. However, there is still a need to integrate data from single sources to obtain a complete picture of the welfare of an animal. This review offers a basis for developing integrated automatic systems to assess dairy cow welfare by providing an overview of the main issues that challenge cow welfare (e.g., lameness) and of well-established indicators that could detect these issues on the farm. Based on a literature review of 4 reviews on cow welfare in general and 48 reviews on single welfare issues, we identified 18 different major welfare issues and 76 matching indicators that could be detected automatically on the farm. Several indicators, e.g., feed intake, showed a consistent association with welfare across many different issues. Although some of these indicators are discussed critically, this means there are many indicators that potentially could detect reduced welfare in general. Other types of indicators could detect one specific welfare issue, e.g., increased respiratory rate for heat stress. These different types of indicators combined provide a basis to develop integrated automatic systems that ultimately would help farmers to detect welfare problems at an early stage. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.","Animal welfare; Bos taurus; Dairy cattle; Data integration; Health monitoring; Precision livestock farming","agricultural worker; animal experiment; animal welfare; breathing rate; dairy cattle; data integration; food intake; heat stress; nonhuman; review; taurine cattle"
"Dutton-Regester K.J., Barnes T.S., Wright J.D., Rabiee A.R.","Lameness in dairy cows: Farmer perceptions and automated detection technology",2020,"Journal of Dairy Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089943071&doi=10.1017%2fS0022029920000497&partnerID=40&md5=57bfb02eb8004bff5f12baf35b57ab8a","This Research Reflection provides an overview of three interrelated topics: (i) lameness in dairy cows, demonstrating the underpinning importance of the condition, (ii) dairy farmer detection, diagnosis and treatment of lameness and associated foot lesions as well as dairy farmer perceptions towards the condition and (iii) lameness detection technologies, and their potential application on farm to automate the detection of lameness in commercial dairy herds. The presented literature clearly demonstrates that lameness is a major health issue in dairy herds, compromising dairy cow welfare and productivity, and resulting in significant economic implications for dairy farmers. Despite this, dairy farmers fail to perceive lameness as a serious threat to their dairy business. This restricted perception of the importance of lameness may be a product of limited ability to detect lame cows. Many automated lameness detection technologies have been proposed to assist dairy farmers in managing their herds. However, limitations such as cost, performance and dairy farmer perception of the usefulness of these technologies, has lead to poor uptake. It can, therefore, be concluded that there is a need to more thoroughly evaluate the effectiveness of these technologies under on-farm conditions, potentially in the form of a demonstration farm network. This will allow generation of the necessary data required to show dairy farmers that these technologies are reliable and are economically rational for their dairy business. Copyright © The Author(s), 2020. Published by Cambridge University Press on behalf of Hannah Dairy Research Foundation.","automated detection technology; dairy cows; farmer perceptions; Lameness","agricultural worker; animal experiment; article; comparative effectiveness; dairy cattle; foot; human; nonhuman; perception; productivity; welfare"
"Ntalampiras S., Pezzuolo A., Mattiello S., Battini M., Brscic M.","Automatic detection of cow/calf vocalizations in free-stall barn",2020,"2020 43rd International Conference on Telecommunications and Signal Processing, TSP 2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090556926&doi=10.1109%2fTSP49548.2020.9163522&partnerID=40&md5=4b45a3df7d55118a6f4afc8b496aed5d","Precision livestock farming dictates the use of advanced technologies to understand, analyze, assess and finally optimize a farm's production collectively as well as the contribution of each single animal. This Work is part of a research project wishing to steer the dairy farms' producers to more ethical rearing systems. To study cow's welfare, we focus on reciprocal vocalizations including mother-offspring contact calls. We show the set-up of a suitable audio capturing system composed of automated recording units and propose an algorithm to automatically detect cow vocalizations in an indoor farm setting. More specifically, the algorithm has a two-level structure: a) first, the Hilbert follower is applied to segment the raw audio signals, and b) second the detected blocks of acoustic activity are refined via a classification scheme based on hidden Markov models. After thorough evaluation, we demonstrate excellent detection results in terms of false positives, false negatives and confusion matrix. © 2020 IEEE.","acoustic signal processing, vocalization detection; audio pattern recognition; cow/calf vocalization; Precision livestock farming; Precision livestock farming; cow/calf vocalization; acoustic signal processing; vocalization detection; audio pattern recognition","Agriculture; Audio acoustics; Hidden Markov models; Acoustic activity; Advanced technology; Automatic Detection; Classification scheme; Confusion matrices; False negatives; Precision livestock farming; Two-level structures; Signal processing"
