Authors,Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
"Islam M.A., Lomax S., Doughty A.K., Islam M.R., Clark C.E.F.","Automated monitoring of panting for feedlot cattle: Sensor system accuracy and individual variability",2020,"Animals","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090029769&doi=10.3390%2fani10091518&partnerID=40&md5=0826460ba5e08f7986d28b3e610cb1ae","Heat stress causes significant economic losses by reducing the productivity and welfare of cattle whilst requiring a significant investment in resource for amelioration. Panting score (PS) is considered a robust indicator of cattle heat stress; however, individualised visual monitoring is impractical. Thermal index-based monitoring and mitigation decisions are applied at the herd level, but they have limited application for the individual animal. As such, an automated system to monitor the real-time animal response to heat stress is required for strategic mitigation. Our objectives were to validate an accelerometer-based ear tag sensor to monitor cattle panting and to determine individual variability in heat stress responses with reference to thermal indices. Two experiments were conducted: Experiment 1 validated the sensors, and Experiment 2 determined individual variability comparing sensor data against thermal indices. Ear tag sensors were fitted at feedlot entry to continuously monitor the behaviour of 100 steers of mixed breed in Experiment 1 and 200 steers and heifers of mixed breed in Experiment 2. Sensor-derived ‘heavy breathing’ was validated against visually observed PS. Sensor-derived behaviour bouts were analysed as ‘raw’, and single behaviour states were also converted to the preceding bout of ≥2 min, which was referred to as ‘fill’ data for the validation study. Our results demonstrate the sensors’ ability to accurately monitor panting in feedlot cattle. Sensor-recorded ‘heavy breathing’ duration per animal was highly correlated to observed panting duration for both raw (r = 0.89) and fill (r = 0.90) data; however, the concordance correlation co-efficient was lower for raw (0.45) as compared with fill (0.76). Predicted agreement for raw data were 75%, 45%, and 68% and predicted agreement for fill data were 65%, 54%, and 83% for PS0, PS1, and PS2, respectively. Sensitivity for raw data were 39%, 37%, and 45% and for fill data, they were 59%, 54% and 82% for all PS data, PS1 and PS2, respectively. Specificity and positive predictive values for both raw (77% and 79%, respectively) and fill (65% and 77%, respectively) data show the probability of reporting false positives by sensors to be low. Experiment 2 revealed that the duration of panting increased from 0800 to 1700 h alongside changes in thermal indices with significant differences between and within breed and coat colour categories of cattle, suggesting that grouping and allocating heat amelioration measures by breed and coat colour can be effective in commercial feedlots. However, there was high variability (CV > 80%) in the duration of panting between individuals within the same breed and same coat colour, revealing the potential for strategic management at an individual level, and with the same data, genetic selection for heat resilience. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.","Accelerometer; Ear tag sensor; Heat stress; Individual variation; Validation","agricultural parameters; animal experiment; Article; breathing rate; controlled study; dairy cattle; diagnostic accuracy; female; genetic selection; genotype; heat load index; heat stress; male; mathematical parameters; measurement accuracy; milk production; milk yield; nonhuman; predictive value; reproductive success; sensitivity and specificity; solar radiation; temperature humidity index; validation study"
"McVey C., Hsieh F., Manriquez D., Pinedo P., Horback K.","Mind the Queue: A Case Study in Visualizing Heterogeneous Behavioral Patterns in Livestock Sensor Data Using Unsupervised Machine Learning Techniques",2020,"Frontiers in Veterinary Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090781782&doi=10.3389%2ffvets.2020.00523&partnerID=40&md5=3fa420b59c1ec24dffa5829d8bfe6488","Sensor technologies allow ethologists to continuously monitor the behaviors of large numbers of animals over extended periods of time. This creates new opportunities to study livestock behavior in commercial settings, but also new methodological challenges. Densely sampled behavioral data from large heterogeneous groups can contain a range of complex patterns and stochastic structures that may be difficult to visualize using conventional exploratory data analysis techniques. The goal of this research was to assess the efficacy of unsupervised machine learning tools in recovering complex behavioral patterns from such datasets to better inform subsequent statistical modeling. This methodological case study was carried out using records on milking order, or the sequence in which cows arrange themselves as they enter the milking parlor. Data was collected over a 6-month period from a closed group of 200 mixed-parity Holstein cattle on an organic dairy. Cows at the front and rear of the queue proved more consistent in their entry position than animals at the center of the queue, a systematic pattern of heterogeneity more clearly visualized using entropy estimates, a scale and distribution-free alternative to variance robust to outliers. Dimension reduction techniques were then used to visualize relationships between cows. No evidence of social cohesion was recovered, but Diffusion Map embeddings proved more adept than PCA at revealing the underlying linear geometry of this data. Median parlor entry positions from the pre- and post-pasture subperiods were highly correlated (R = 0.91), suggesting a surprising degree of temporal stationarity. Data Mechanics visualizations, however, revealed heterogeneous non-stationary among subgroups of animals in the center of the group and herd-level temporal outliers. A repeated measures model recovered inconsistent evidence of a relationships between entry position and cow attributes. Mutual conditional entropy tests, a permutation-based approach to assessing bivariate correlations robust to non-independence, confirmed a significant but non-linear association with peak milk yield, but revealed the age effect to be potentially confounded by health status. Finally, queueing records were related back to behaviors recorded via ear tag accelerometers using linear models and mutual conditional entropy tests. Both approaches recovered consistent evidence of differences in home pen behaviors across subsections of the queue. © Copyright © 2020 McVey, Hsieh, Manriquez, Pinedo and Horback.","data mechanics; entropy; exploratory data analysis; manifold learning; milking order; precision livestock; unsupervised machine learning","animal behavior; animal experiment; Article; clinical assessment; clinical evaluation; controlled study; cow; dimensionality reduction; embedding; entropy; geometry; herd; Holstein cattle; livestock; mechanics; nonhuman; parity; pasture; statistical model; unsupervised machine learning"
"Kling-Eveillard F., Allain C., Boivin X., Courboulay V., Créach P., Philibert A., Ramonet Y., Hostiou N.","Farmers’ representations of the effects of precision livestock farming on human-animal relationships",2020,"Livestock Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084366169&doi=10.1016%2fj.livsci.2020.104057&partnerID=40&md5=d9075be0a13d3c39f0c19f1086528887","Precision livestock farming affects the nature and frequency of farmers’ daily tasks, specifically in relation to animals. It consequently may modify how farmers consider their animals, the quality of the human-animal relationship and animal welfare. To better understand how new technologies impact human-animal relationships on the farm, a survey was carried out on 25 livestock farms in France. The farms raised dairy cows, gestating sows or broiler chickens using different equipment (sensors associated or not with robots). A qualitative thematic analysis to better identify farmers’ views on the different topics, and secondly a statistical analysis to identify if farmer profiles exist and to better understand the diversity of views were conducted. Most of the farmers expressed satisfaction about working with the new technology because their work becomes easier and allows more control over the management of the animals. Using PLF, the farmers describe a profession that has not fundamentally changed but which involves new tasks, new skills and daily schedules. Three farmers’ profiles were identified. Profile A farmers consider that one cannot talk about a human-animal relationship on their farm, and do not enjoy either touching or talking to their animals. Profile B farmers associate a good human-animal relationship with the animals’ welfare. Profile C is characterized by the central place occupied by animals and associate a good human-animal relationship with an absence of fear on the part of the animals. Farmers motivated by animals (profile C) find in precision livestock farming benefits related to animals, while the others (profiles A and B) find technical benefits detached from the animals. The farmers have room to manoeuvre in how they use the equipment; this can be seen for instance in the degree to which tasks are delegated to the equipment, which can be partial or total. Nevertheless, some farmers expressed concerns regarding the place of the new technologies on the farm, such as the risk of losing their own autonomy or their ability to observe animals and detect problems. Complementary studies could monitor these developments and contribute elements on the role of PLF in the sustainability of livestock farms. © 2020 Elsevier B.V.","Human-animal relationship; Livestock farmer profession; Precision livestock farming; Robot; Sensor; Work","accuracy; adult; agricultural worker; animal care; animal welfare; Article; biodiversity; broiler chicken; chicken; controlled study; dairy cattle; France; gestating sows; human; human animal relationship; job satisfaction; livestock; nonhuman; precision livestock farming; priority journal; qualitative analysis; skill; social behavior; sow (swine); statistical analysis; tactile communication; task performance; technology; thematic analysis; touch"
"Brito L.F., Oliveira H.R., McConn B.R., Schinckel A.P., Arrazola A., Marchant-Forde J.N., Johnson J.S.","Large-Scale Phenotyping of Livestock Welfare in Commercial Production Systems: A New Frontier in Animal Breeding",2020,"Frontiers in Genetics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089506682&doi=10.3389%2ffgene.2020.00793&partnerID=40&md5=5c9125f1618896af1bdff4e959b3a176","Genomic breeding programs have been paramount in improving the rates of genetic progress of productive efficiency traits in livestock. Such improvement has been accompanied by the intensification of production systems, use of a wider range of precision technologies in routine management practices, and high-throughput phenotyping. Simultaneously, a greater public awareness of animal welfare has influenced livestock producers to place more emphasis on welfare relative to production traits. Therefore, management practices and breeding technologies in livestock have been developed in recent years to enhance animal welfare. In particular, genomic selection can be used to improve livestock social behavior, resilience to disease and other stress factors, and ease habituation to production system changes. The main requirements for including novel behavioral and welfare traits in genomic breeding schemes are: (1) to identify traits that represent the biological mechanisms of the industry breeding goals; (2) the availability of individual phenotypic records measured on a large number of animals (ideally with genomic information); (3) the derived traits are heritable, biologically meaningful, repeatable, and (ideally) not highly correlated with other traits already included in the selection indexes; and (4) genomic information is available for a large number of individuals (or genetically close individuals) with phenotypic records. In this review, we (1) describe a potential route for development of novel welfare indicator traits (using ideal phenotypes) for both genetic and genomic selection schemes; (2) summarize key indicator variables of livestock behavior and welfare, including a detailed assessment of thermal stress in livestock; (3) describe the primary statistical and bioinformatic methods available for large-scale data analyses of animal welfare; and (4) identify major advancements, challenges, and opportunities to generate high-throughput and large-scale datasets to enable genetic and genomic selection for improved welfare in livestock. A wide variety of novel welfare indicator traits can be derived from information captured by modern technology such as sensors, automatic feeding systems, milking robots, activity monitors, video cameras, and indirect biomarkers at the cellular and physiological levels. The development of novel traits coupled with genomic selection schemes for improved welfare in livestock can be feasible and optimized based on recently developed (or developing) technologies. Efficient implementation of genetic and genomic selection for improved animal welfare also requires the integration of a multitude of scientific fields such as cell and molecular biology, neuroscience, immunology, stress physiology, computer science, engineering, quantitative genomics, and bioinformatics. © Copyright © 2020 Brito, Oliveira, McConn, Schinckel, Arrazola, Marchant-Forde and Johnson.","behavioral genomics; big data; digital agriculture; genomic information; genomic selection; novel phenotypes; phenomics; precision livestock",
"Pereira G.M., Heins B.J., O'Brien B., McDonagh A., Lidauer L., Kickinger F.","Validation of an ear tag–based accelerometer system for detecting grazing behavior of dairy cows",2020,"Journal of Dairy Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079890574&doi=10.3168%2fjds.2019-17269&partnerID=40&md5=7c5aaffd141ba4e9732e7ea9ce39d86d","The objective of the study was to develop a grazing algorithm for an ear tag–based accelerometer system (Smartbow GmbH, Weibern, Austria) and to validate the grazing algorithm with data from a noseband sensor. The ear tag has an acceleration sensor, a radio chip, and temperature sensor for calibration and it can monitor rumination and detect estrus and localization. To validate the ear tag, a noseband sensor (RumiWatch, Itin and Hoch GmbH, Liestal, Switzerland) was used. The noseband sensor detects pressure and acceleration patterns, and, with a software program specific to the noseband, pressure and acceleration patterns are used to classify data into eating, ruminating, drinking, and other activities. The study was conducted at the University of Minnesota West Central Research and Outreach Center (Morris, MN) and at Teagasc Animal and Grassland Research and Innovation Centre (Moorepark, Fermoy, Co. Cork, Ireland). During May and June 2017, observational data from Minnesota and Ireland were used to develop the grazing algorithm. During September 2018, data were collected by the ear tag and noseband sensor from 12 crossbred cows in Minnesota for a total of 248 h and from 9 Holstein-Friesian cows in Ireland for a total of 248 h. A 2-sided t-test was used to compare the percentage of grazing and nongrazing time recorded by the ear tag and the noseband sensor. Pearson correlations and concordance correlation coefficients (CCC) were used to evaluate associations between the ear tag and noseband sensor. The percentage of total grazing time recorded by the ear tag and by the noseband sensor was 37.0% [95% confidence interval (CI): 32.1 to 42.0] and 40.5% (95% CI: 35.5 to 45.6), respectively, in Minnesota, and 35.4% (95% CI: 30.6 to 40.2) and 36.9% (95% CI: 32.1 to 41.8), respectively, in Ireland. The ear tag and noseband sensor agreed strongly for monitoring grazing in Minnesota (r = 0.96; 95% CI: 0.94 to 0.97, CCC = 0.95) and in Ireland (r = 0.92; 95% CI: 0.90 to 0.94, CCC = 0.92). The results suggest that there is potential for the ear tag to be used on pasture-based dairy farms to support management decision-making. © 2020 American Dairy Science Association","accelerometer; ear tag; grazing; validation","accelerometry; animal; bovine; dairying; devices; drinking; ear; estrus; female; herbivory; lactation; physiologic monitoring; veterinary medicine; Accelerometry; Animals; Cattle; Dairying; Drinking; Ear; Estrus; Female; Herbivory; Lactation; Monitoring, Physiologic"
"Taneja M., Byabazaire J., Jalodia N., Davy A., Olariu C., Malone P.","Machine learning based fog computing assisted data-driven approach for early lameness detection in dairy cattle",2020,"Computers and Electronics in Agriculture","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081118812&doi=10.1016%2fj.compag.2020.105286&partnerID=40&md5=f4bc262ce248bede0e31068830b7c595","Timely lameness detection is one of the major and costliest health problems in dairy cattle that farmers and practitioners haven't yet solved adequately. The primary reason behind this is the high initial setup costs, complex equipment and lack of multi-vendor interoperability in currently available solutions. On the other hand, human observation based solutions relying on visual inspections are prone to late detection with possible human error, and are not scalable. This poses a concern with increasing herd sizes, as prolonged or undetected lameness severely compromises cows' health and welfare, and ultimately affects the milk productivity of the farm. To tackle this, we have developed an end-to-end IoT application that leverages advanced machine learning and data analytics techniques to monitor the cattle in real-time and identify lame cattle at an early stage. The proposed approach has been validated on a real world smart dairy farm setup consisting of a dairy herd of 150 cows in Waterford, Ireland. Using long-range pedometers specifically designed for use in dairy cattle, we monitor the activity of each cow in the herd. The accelerometric data from these sensors is aggregated at the fog node to form a time series of behavioral activities, which are further analyzed in the cloud. Our hybrid clustering and classification model identifies each cow as either Active, Normal or Dormant, and further, Lame or Non-Lame. The detected lameness anomalies are further sent to farmer's mobile device by way of push notifications. The results indicate that we can detect lameness 3 days before it can be visually captured by the farmer with an overall accuracy of 87%. This means that the animal can either be isolated or treated immediately to avoid any further effects of lameness. Moreover, with fog based computational assistance in the setup, we see an 84% reduction in amount of data transferred to the cloud as compared to the conventional cloud based approach. © 2020 The Authors","Classification; Cloud computing; Clustering; Data analytics; Data-driven; Fog computing; Internet of Things (IoT); Machine learning; Microservices; Smart dairy farming; Smart farm","Advanced Analytics; Agriculture; Classification (of information); Cloud computing; Dairies; Data Analytics; Fog; Internet of things; Learning systems; Machine learning; Mobile telecommunication systems; Clustering; Dairy farming; Data driven; Internet of Things (IOT); Microservices; Fog computing; cattle; classification; computer; dairy farming; data assimilation; equipment component; machine learning; time series analysis; World Wide Web; Ireland; Munster [Ireland]; Waterford; Animalia; Bos"
"Khanh P.C.P., Tran D.-T., Duong V.T., Thinh N.H., Tran D.-N.","The new design of cows' behavior classifier based on acceleration data and proposed feature set",2020,"Mathematical Biosciences and Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089369778&doi=10.3934%2fMBE.2020151&partnerID=40&md5=9d0920e3e9a8b6a4d1a54acf611f59a5","Monitor and classify behavioral activities in cows is a helpful support solution for livestock based on the analysis of data from sensors attached to the animal. Accelerometers are particularly suited for monitoring cow behaviors due to small size, lightweight and high accuracy. Nevertheless, the interpretation of the data collected by such sensors when characterizing the type of behaviors still brings major challenges to developers, related to activity complexity (i.e., certain behaviors contain similar gestures). This paper presents a new design of cows' behavior classifier based on acceleration data and proposed feature set. Analysis of cow acceleration data is used to extract features for classification using machine learning algorithms. We found that with 5 features (mean, standard deviation, root mean square, median, range) and 16-second window of data (1 sample/second), classification of seven cow behaviors (including feeding, lying, standing, lying down, standing up, normal walking, active walking) achieved the overall highest performance. We validated the results with acceleration data from a public source. Performance of our proposed classifier was evaluated and compared to existing ones in terms of the sensitivity, the accuracy, the positive predictive value, and the negative predictive value. © 2020 the Author(s).","Acceleration; Classification; Cow; Monitoring; Sensor","Agriculture; Learning algorithms; Machine learning; Walking aids; Acceleration data; Active walkings; Analysis of data; Negative predictive value; Normal walking; Positive predictive values; Root Mean Square; Standard deviation; Classification (of information)"
"Wagner N., Antoine V., Mialon M.-M., Lardy R., Silberberg M., Koko J., Veissier I.","Machine learning to detect behavioural anomalies in dairy cows under subacute ruminal acidosis",2020,"Computers and Electronics in Agriculture","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078697783&doi=10.1016%2fj.compag.2020.105233&partnerID=40&md5=d3f9cc0570b9278e7fdbe8645667ee82","Sickness behaviour is characterised by a lethargic state during which the animal reduces its activity, sleeps more and at times when normally awake, reduces its feed and water intake, and interacts less with its environment. Subtle modifications in behaviour can materialise just before clinical signs of a disease. Recent sensor developments enable continuous monitoring of animal behaviour, but the shift to abnormal animal activity remains difficult to detect. We explored the use of Machine Learning (ML) to detect abnormal behaviour from continuous monitoring. We submitted 14 cows (Bos taurus) to Sub-Acute Ruminal Acidosis (SARA), a disease known to induce changes in behaviour. Another 14 control cows were not submitted to SARA. We used a ruminal bolus to monitor pH and detect when a cow experienced SARA. We used a positioning system to infer an animal's activity based on its position in relation to specific elements in the barn (feeder, resting area, and alleys). We tested several ML algorithms: K Nearest Neighbours for Regression (KNNR); Decision Tree for Regression (DTR); MultiLayer Perceptron (MLP); Long Short-Term Memory (LSTM); and an algorithm where activity is assumed to be similar from one day to the next. First, we developed ML models to predict activity on a given day from the previous 24 h, considering all cows together. Then, we calculated the error between observed and predicted values for a given cow. Finally, we compared the error to a threshold chosen to optimise the distinction between normal and abnormal values. KNNR performed best, detecting 83% of SARA cases (true-positives), but it also produced 66% of false-positives, which limits its use in practice. In conclusion, ML can help detect anomalies in behaviour. Further improvements could probably be obtained by applying ML on very large datasets at animal rather than group level. © 2020 Elsevier B.V.","Cattle; Data mining; Metabolic disease; Real-Time Locating System; Sickness behaviour","Animals; Data mining; Decision trees; Diseases; Large dataset; Machine learning; Monitoring; Nearest neighbor search; Trees (mathematics); Abnormal behaviours; Cattle; Continuous monitoring; K-nearest neighbours; Metabolic disease; Multi layer perceptron; Real-Time Locating Systems; Sickness behaviour; Long short-term memory; algorithm; behavioral response; biomonitoring; cattle; data mining; disease incidence; machine learning; pH; real time; sensor; Animalia; Bos; Bos taurus"
"Williams L.R., Moore S.T., Bishop-Hurley G.J., Swain D.L.","A sensor-based solution to monitor grazing cattle drinking behaviour and water intake",2020,"Computers and Electronics in Agriculture","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076022372&doi=10.1016%2fj.compag.2019.105141&partnerID=40&md5=f107631d58b9198491332eac5d643222","The aim of the study was to bring together a combination of stationary (Radio Frequency IDentification (RFID), water flow meter) and animal-attached (accelerometer) sensors in an automated approach to record beef cattle drinking behaviour and herd water intake in grazing systems. An experiment was conducted to collect and validate data from the behaviour monitoring system. A water trough located in an enclosed water point was equipped with a water flow meter. The water point entry and exit gates were each fitted with a RFID panel reader. The eight beef heifers that grazed the experimental site wore a RFID ear tag in the right ear and a motion sensing neck collar that contained a triaxial accelerometer. The heifers had ad libitum access to the water point at all times. Sensor data and video observations were recorded over four consecutive weeks. When operational, the RFID readers correctly recorded 95% (94/99) of heifer movements in and out of the water point and were correlated (r = 0.99) to observed entry and exit times. Volumes of water recorded by the water meter were correlated (r = 0.99) to measured water volumes taken from the trough's inlet and from water in the trough while under the control of a float valve. An algorithm was developed to classify drinking using accelerometer measures of head-neck position, activity and movement frequency. The accelerometer algorithm detected 94% (98/104) of drinking events that were greater than 10 s in duration (F1 score = 77%) and was correlated (r = 0.84) to the observed duration of drinking events. Differences between observed and predicted estimates of the number of drinking events that were greater than 10 s in duration (1.6 ± 1.1 vs. 2.0 ± 1.8, respectively) and the time spent drinking (45.8 ± 24.1 vs. 43.1 ± 42.8, respectively) per heifer visit to the water yard were not significant (p > 0.05). The approach is considered reliable for recording a number of behavioural measures including the number, duration and frequency of visits per animal to a water point, the number and duration of drinking events per animal visit and the time each animal spends drinking. © 2019","Accelerometer; Beef; Biotechnology; Power spectral analysis; Radio frequency IDentification","Accelerometers; Animals; Beef; Biotechnology; Flow measurement; Flow of water; Flowmeters; Hydraulics; Inlet flow; Monitoring; Radio frequency identification (RFID); Radio waves; Spectrum analysis; Automated approach; Behaviour monitoring; Grazing systems; Motion sensing; Movement frequencies; Power spectral analysis; Triaxial accelerometer; Water volumes; Potable water; algorithm; behavior; biotechnology; cattle; drinking; equipment; experimental study; grazing; identification method; monitoring system; sensor; spectral analysis; Animalia; Bos"
"Scoley G., Gordon A., Morrison S.","Using non-invasive monitoring technologies to capture behavioural, physiological and health responses of dairy calves to different nutritional regimes during the first ten weeks of life",2019,"Animals","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073515201&doi=10.3390%2fani9100760&partnerID=40&md5=159bd20bac8fa2a3d631ce17a0272834","This study aimed to examine the use of non-invasive monitoring technologies as a means of capturing behavioural, physiological and health responses of calves allocated to different nutritional regimes. Seventy-four Holstein Friesian calves were individually penned and allocated to receive either high (HML) or conventional (CML) milk replacer (MR) levels between 5–70 days of age. Additionally calves were allocated to one of four forage treatments: (i) chopped straw offered between 14–70 days of age (CS14), (ii) chopped straw offered between 56–70 days of age (CS56), (iii) grass silage offered between 56–70 days of age (GS56), and (iv) no forage in the pre-wean period (NF). A representative sample of calves from each treatment were fitted with activity sensors and heart rate monitors throughout the experimental period to examine lying behaviour and heart rate variability, respectively. Thermal images of the eye and rectal area of each calf were taken 5 days/week between 5–77 days of age. Faecal and respiratory scoring of each individual calf was carried out on a daily basis throughout the experimental period. Milk replacer feeding level had limited effects on measures of calf health, although HML calves tended to have an increased likelihood for receiving treatment for scour than CML calves. Daily lying time (min/d) was lower in HML calves following reduction in MR feeding frequency at 43 days of age and weaning at 71 days of age when compared with CML calves. Additionally, HML calves displayed a lower heart rate variability following weaning, this suggestive of increased stress load. There were limited effects of forage treatment, however, CS14 calves displayed a greater daily lying time following MR stepdown at 68 days of age, this potentially indicating increased rumination. Results of the present study highlight the benefits of using remote monitoring technologies as a means of detecting behavioural and physiological changes as a result of nutritional management strategy in individually housed dairy calves. © 2019 by the authors. Licensee MDPI, Basel, Switzerland.","Behaviour; Dairy calves; Health; Monitoring technologies; Physiology; Welfare","animal experiment; animal health; Article; body temperature; body weight; breathing rate; calf (bovine); colostrum; controlled study; feeding; feeding behavior; female; heart rate variability; housing; humidity; immune function test; information processing; male; monitoring; non invasive procedure; nonhuman; physiology; rectal temperature; temperature; thermography; weaning"
