Authors,Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
"Giersberg M.F., Meijboom F.L.B.","Smart Technologies Lead to Smart Answers? On the Claim of Smart Sensing Technologies to Tackle Animal Related Societal Concerns in Europe Over Current Pig Husbandry Systems",2021,"Frontiers in Veterinary Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099729473&doi=10.3389%2ffvets.2020.588214&partnerID=40&md5=f42eb3a3f08b9b541de5fc6612e02fe1","Current pig production systems in Europe are subject to public criticism. At the same time, Precision Livestock Farming (PLF) technologies, which allow for automated animal monitoring are entering commercial pig farms. With their claim of improving animal health and welfare, these innovations may respond to public concerns. However, they may raise problems of societal acceptance themselves. In this review, we investigate whether the available literature allows for an analysis to which extent PLF can mitigate or reinforce societal concerns related to pig production. We first analyze papers on pig husbandry systems in general, and then those on PLF as an innovation in animal production. In general, there is a tension between citizens and farmers. Citizens hold rather negative attitudes whereas farmers evaluate pig production more positively. Literature on attitudes of other actors, such as veterinarians, is missing. Information on the attitudes toward PLF of stakeholders other than farmers is lacking. Possible challenges of societal acceptance of PLF and chances to overcome these are only discussed in theoretical approaches. We conclude that to analyze the role of PLF in addressing societal concerns over pig production, there is a need for further empirical research including attention to underlying values of all stakeholders. This should focus on the attitudes of the currently missing stakeholders toward pig husbandry in general, and on those of the wider society toward PLF. Only by means of additional data, it will be possible to evaluate whether PLF has the potential to address societal concerns related to pig production. © Copyright © 2021 Giersberg and Meijboom.","attitude; perception; pig production; precision livestock farming; society","agricultural worker; animal experiment; attention; attitude; empirical research; Europe; livestock; nonhuman; perception; pig; review; social acceptance; tension; veterinarian"
"Odintsov Vaintrub M., Levit H., Chincarini M., Fusaro I., Giammarco M., Vignola G.","Review: Precision livestock farming, automats and new technologies: possible applications in extensive dairy sheep farming",2021,"Animal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100690818&doi=10.1016%2fj.animal.2020.100143&partnerID=40&md5=250240a520f054085ebf98a9941537eb","Precision livestock farming (PLF) technologies are becoming increasingly common in modern agriculture. They are frequently integrated with other new technologies in order to improve human–livestock interactions, productivity and economical sustainability of modern farms. New systems are constantly being developed for concentrated farming operations as well as for extensive and pasture-based farming systems. The development of technologies for grazing animals is of particular interest for the Mediterranean extensive sheep farming sector. Dairy sheep farming is a typical production system of the area linked to its historical and cultural traditions. The area provides roughly 40% of the world sheep milk, having 27% of the milk-producing ewes. Developed countries of the area (France, Italy, Greece and Spain – FIGS) have highly specialized production systems improved through animal selection, feeding techniques and intensification of production. However, extensive systems are still practiced alongside intensive ones due to their lower input costs and better resilience to market fluctuations. In the current article, we evaluate possible PLF systems and their suitability to be incorporated in extensive dairy sheep farming as practiced in the FIGS countries. Available products include: electronic identification systems (now mandatory in the EU) such as ear tags, ruminal boluses and sub-cutaneous radio-frequency identification; on-animal sensors such as accelerometers, global positioning systems and social activity loggers; and stationary management systems such as walk-over-weights, automatic drafter (AD), virtual fencing and milking parlour-related technologies. The systems were considered according to their suitability for the management and business model common in dairy sheep farming. However, adoption of new technologies does not take place immediately in small and medium scale extensive farming. As sheep farmers usually belong to more conservative technology consumers, characterized by an average age of 60 and a very transparent community, the dynamics do not favour financial risk taking involved with new technologies. Financial barriers linked to production volumes and resource management of extensive farming are also a barrier for innovation. However, future prospectives could increase the importance of technology and promote its wider adoption. Trends such as global sheep milk economics, global warming, awareness to animal welfare, antibiotics resistance and European agricultural policies could influence the farming practices and stimulate wider adoption of PLF systems in the near future. © 2020 The Authors","Extensive farming; Farmer's acceptance; New technologies; Precision livestock farming; Sheep",
"Molina F.M., Marín C.C., Moreno L.M., Buendía E.I.A., Marín D.C.P.","Welfare Quality®for dairy cows: Towards a sensor-based assessment",2020,"Journal of Dairy Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089939778&doi=10.1017%2fS002202992000045X&partnerID=40&md5=aadf391fb9d610115a56bcce8f8e0474","This Research Reflection addresses the possibilities for Welfare Quality® to evolve from an assessment method based on data gathered on punctual visits to the farm to an assessment method based on sensor data. This approach could provide continuous and objective data, while being less costly and time consuming. Precision Livestock Farming (PLF) technologies enabling the monitorisation of Welfare Quality® measures are reviewed and discussed. For those measures that cannot be assessed by current technologies, some options to be developed are proposed. Picturing future dairy farms, the need for multipurpose and non-invasive PLF technologies is stated, in order to avoid an excessive artificialisation of the production system. Social concerns regarding digitalisation are also discussed. Copyright © The Author(s), 2020. Published by Cambridge University Press on behalf of Hannah Dairy Research Foundation.","Precision livestock farming; sensor integration; social concerns; welfare assessment",
"Kling-Eveillard F., Allain C., Boivin X., Courboulay V., Créach P., Philibert A., Ramonet Y., Hostiou N.","Farmers’ representations of the effects of precision livestock farming on human-animal relationships",2020,"Livestock Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084366169&doi=10.1016%2fj.livsci.2020.104057&partnerID=40&md5=d9075be0a13d3c39f0c19f1086528887","Precision livestock farming affects the nature and frequency of farmers’ daily tasks, specifically in relation to animals. It consequently may modify how farmers consider their animals, the quality of the human-animal relationship and animal welfare. To better understand how new technologies impact human-animal relationships on the farm, a survey was carried out on 25 livestock farms in France. The farms raised dairy cows, gestating sows or broiler chickens using different equipment (sensors associated or not with robots). A qualitative thematic analysis to better identify farmers’ views on the different topics, and secondly a statistical analysis to identify if farmer profiles exist and to better understand the diversity of views were conducted. Most of the farmers expressed satisfaction about working with the new technology because their work becomes easier and allows more control over the management of the animals. Using PLF, the farmers describe a profession that has not fundamentally changed but which involves new tasks, new skills and daily schedules. Three farmers’ profiles were identified. Profile A farmers consider that one cannot talk about a human-animal relationship on their farm, and do not enjoy either touching or talking to their animals. Profile B farmers associate a good human-animal relationship with the animals’ welfare. Profile C is characterized by the central place occupied by animals and associate a good human-animal relationship with an absence of fear on the part of the animals. Farmers motivated by animals (profile C) find in precision livestock farming benefits related to animals, while the others (profiles A and B) find technical benefits detached from the animals. The farmers have room to manoeuvre in how they use the equipment; this can be seen for instance in the degree to which tasks are delegated to the equipment, which can be partial or total. Nevertheless, some farmers expressed concerns regarding the place of the new technologies on the farm, such as the risk of losing their own autonomy or their ability to observe animals and detect problems. Complementary studies could monitor these developments and contribute elements on the role of PLF in the sustainability of livestock farms. © 2020 Elsevier B.V.","Human-animal relationship; Livestock farmer profession; Precision livestock farming; Robot; Sensor; Work","accuracy; adult; agricultural worker; animal care; animal welfare; Article; biodiversity; broiler chicken; chicken; controlled study; dairy cattle; France; gestating sows; human; human animal relationship; job satisfaction; livestock; nonhuman; precision livestock farming; priority journal; qualitative analysis; skill; social behavior; sow (swine); statistical analysis; tactile communication; task performance; technology; thematic analysis; touch"
"Lovarelli D., Bacenetti J., Guarino M.","A review on dairy cattle farming: Is precision livestock farming the compromise for an environmental, economic and social sustainable production?",2020,"Journal of Cleaner Production","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082649699&doi=10.1016%2fj.jclepro.2020.121409&partnerID=40&md5=e339eb85008173b1e1f47f99abe8dcf9","Precision Livestock Farming (PLF) is spreading worldwide for its applications on livestock farms, in both intensive and extensive systems. PLF has started being adopted only recently, but the need of technological support on farm is getting more and more important and is facilitating its distribution on farms. A huge number of researches and scientific studies are available in literature about the adoption of technology, sensors and computer tools for almost all reared species. In this literature review, the goal is to study the recent progresses of PLF, and in particular the scientific studies carried out in the last 7 years (2013–2019) on dairy cattle farming. Health, welfare and production aspects were taken into account together with animal behaviour, environmental barn conditions and their effect on the three pillars of sustainability: environmental, economic and social. From the main findings, it can be underlined that PLF brings environmental, economic and social sustainability benefits on farms, but these benefits have not yet been quantified through specific methods for sustainability assessments. Therefore, it is important for near future researches to focus not only on the technological improvements of tools and sensors but also on the aspects of environmental, economic and social sustainability of livestock productions that impact on both farmers and the community and consumers. The role of PLF is more and more important and will support the process of decision-making of farmers, change their role on farm and their management view, and make possible the traceability of products and the control of the quality of products and of the animals living conditions as required from policy-makers and stakeholders. © 2020 Elsevier Ltd","Data collection; Efficiency improvement; Farm monitoring; Performance indicators; Sensors; Sustainability","Agriculture; Animals; Behavioral research; Decision making; Sensors; Data collection; Efficiency improvement; Performance indicators; Precision livestock farming; Sustainability assessment; Sustainable production; Technological improvements; Technological supports; Sustainable development"
"Ngo H.Q.T., Nguyen T.P., Nguyen H.","Research on a low-cost, open-source, and remote monitoring data collector to predict livestock’s habits based on location and auditory information: A case study from Vietnam",2020,"Agriculture (Switzerland)","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085338394&doi=10.3390%2fagriculture10050180&partnerID=40&md5=ad3d602d459b2762f15a014082e0aeb2","The supervision and feeding of grazing livestock are always difficult missions. Since animals act based on habits, the real-time monitoring data logger has become an indispensable instrument to assist farmers in recognizing the status of livestock. Position-tracked and acoustic monitoring have become commonplace as two of the best methods to characterize feeding performance in ruminants. Previously, the existing methods were limited to desktop computers and lacked a sound-collecting function. These restrictions impacted the late interventions from feeders and required a large-sized data memory. In this work, an open-source framework for a data collector that autonomously captures the health information of farm animals is introduced. In this portable hardware, a Wireless Location Acoustic Sensing System (WiLASS) is integrated to infer the health status through the activities and abnormal phenomena of farming livestock via chew–bite sound identification. WiLASS involves the open modules of ESP32-WROOM, GPS NEO-6M, ADXL335 accelerometer, GY-MAX4466 amplifier, temperature sensors, and other signal processing circuits. By means of wireless communication, the ESP32-WROOM Thing micro-processor offers high speed transmission, standard protocol, and low power consumption. Data are transferred in a real-time manner from the attached sensing modules to a digital server for further analysis. The module of GPS NEO-6M Thing brings about fast tracking, high precision, and a strong signal, which is suitable for highland applications. Some computations are incorporated into the accelerometer to estimate directional movement and vibration. The GY-MAX4466 Thing plays the role of microphone, which is used to store environmental sound. To ensure the quality of auditory data, they are recorded at a minimum sampling frequency of 10 KHz and at a 12-bit resolution. Moreover, a mobile software in pocket devices is implemented to provide extended mobility and social convenience. Converging with a cloud-based server, the multi-Thing portable platform can provide access to simultaneously supervise. Message Queuing Telemetry Transport (MQTT) protocol with low bandwidth, high reliability, and bi-direction, and which is appropriate for most operating systemsOS, is embedded into the system to prevent data loss. From the experimental results, the feasibility, effectiveness, and correctness of our approach are verified. Under the changes of climate, the proposed framework not only supports the improvement of farming techniques, but also provides a high-quality alternative for poor rural areas because of its low cost and its ability to carry out a proper policy for each species. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.","Acoustic monitoring; Data collector; ESP32 Thing; Open source; Precision livestock farming; Real-time supervising",
"Fote F.N., Roukh A., Mahmoudi S., Mahmoudi S.A., Debauche O.","Toward a big data knowledge-base management system for precision livestock farming",2020,"Procedia Computer Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099880447&doi=10.1016%2fj.procs.2020.10.021&partnerID=40&md5=a28410990095b2ec5b7b037d5c3aed18","Nowadays, we are in the era of advanced technologies where tremendous amount of data is produced by multiple sources such as sensors, devices, social media, user experiences, etc. Furthermore, this raw data has a low value, and major part is not really useful or important for business. One way to give an added value to this stored data is to extract useful knowledge from it, for the ending-system or the end-users by a process commonly called knowledge Discovery in Database (KDD). Smart Farming uses a large amount of connected technologies producing also a huge amount of data in order to maximize productions by reducing: human efforts, environment impact and wasting natural resources. In this paper, We develop a new data analytic architecture dedicated to Precision Livestock Farming (PLF) to improve in particular the livestock animals production, animals' welfare, and farming processes. We present a new data processing architecture for a knowledge-base management system (KBMS) allowing to ease decision support and monitoring operations that can help farmers and stakeholders to better exploit data and have a long-term view of the evolution of the knowledge it contains. Our main contribution in the present paper is a new architecture specifically developed for the precision livestock farming integrating a periodical data reevaluation which address the problematic of data conservation and the decrease in data value over time. © 2020 The Authors. Published by Elsevier B.V.","Big data; Databases; Knowledge discovery in databases; Knowledge-base management system; Precision livestock farming","Agriculture; Animals; Big data; Data handling; Data mining; Decision support systems; Knowledge based systems; Network architecture; User experience; Advanced technology; Data processing architecture; Decision supports; Environment impact; Knowledge Base Management System; Knowledge discovery in database; Livestock animals; Precision livestock farming; Information management"
"Rojo-Gimeno C., van der Voort M., Niemi J.K., Lauwers L., Kristensen A.R., Wauters E.","Assessment of the value of information of precision livestock farming: A conceptual framework",2019,"NJAS - Wageningen Journal of Life Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075450327&doi=10.1016%2fj.njas.2019.100311&partnerID=40&md5=58d6c10ef2d8215354f3a93da37a2f2e","Although precision livestock farming (PLF) technologies ensure various dimensions of more precise information, the question arises to what extent additional preciseness provides more value. Literature gives insufficient anchor points to estimate the value of information (VOI) obtained with PLF technologies. This study proposes a conceptual framework with building blocks to determine the VOI. Next, the framework is used to describe factors and existing gaps in the VOI assessment. This, finally, leads to reflections and recommendations about how to assess and improve the VOI of PLF. Literature reveals that the VOI surpasses the mere use of more precise information to take decisions, but encompasses a path from data collection to decisions with particular outcomes. The framework interlinks three building blocks: (i) data processing, (ii) decision making and (iii) impact analysis with factors influencing the VOI such as the process to transform data into information, level of precision, decision rules, social influences, the accuracy of information, herd size and prevalence of the condition measured. Besides profitability, outcomes from decisions include the impact on animal welfare, environment, food safety, and food security. The data-to-value framework allows for a better assessment of VOI and its potentials, and provides anchor points to design useful and valuable PLF technologies. The framework also helps to determine the role of advisors in interpreting the more precise information and in formulating farmer-tailored advice to apply the most optimal practices. Both technology design and advisors’ role may enhance the VOI of future PLF developments and applications. © 2019","Conceptual framework; Economic analysis; Precision livestock farming; Role of advisors; Value of information","accuracy assessment; assessment method; conceptual framework; data processing; detection method; economic analysis; livestock; livestock farming; technological development; Animalia"
"Eastwood C., Ayre M., Nettle R., Dela Rue B.","Making sense in the cloud: Farm advisory services in a smart farming future",2019,"NJAS - Wageningen Journal of Life Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064766852&doi=10.1016%2fj.njas.2019.04.004&partnerID=40&md5=d7c7ca543195bb72641c65e11c4e1899","Increased use of data from smart farming technologies presents an opportunity for farmers to better understand their farm systems, and thereby improve outcomes for productivity, sustainability, and animal care. A research gap exists regarding the impact of data-driven smart farming on the relationship between advisors and farmers, and advisors and farm data/technology. Therefore, we asked: how are farmers and advisors interacting with data-driven smart farming, and what are the implications for farm advisor capability and roles in a future where farmers use more data-driven smart farming? We studied advisory roles, advisor-farmer interactions, and new technologies in the context of three case studies: i) automated cow body condition scoring in New Zealand; ii) precision grazing management in New Zealand; and iii) the Soil Water Outlook tool in the Australian grains and lamb sectors. We propose a conceptual framework involving on-farm adaptation, learning, capability development and organizational roles. The findings show that smart technologies exhibit potentially disruptive features for farm management, necessitating greater input from a farmer's advisory network to facilitate optimal farm system adaptation. This has implications for the nature of the advisory relationship, where advisory capabilities evolve to include skills on determining technology value propositions alongside farmers and new skills are built for linking data to better decision-making on farm. This paper contributes to improved understanding of how back-office advisory roles may move from information gathering, to remote data interpretation due to data-driven smart farming. We identify the advisor's role in acting as a sensemaker in the smart farming innovation system, rather than a promoter or barrier to technology uptake. Further adaptation of advisory practices is required to enable greater value from data-driven smart farming to be captured by farmers. © 2019 Royal Netherlands Society for Agricultural Sciences","Advisors; Data-driven decisions; Smart farming; Social interaction; Trust","agricultural development; agricultural extension; agricultural technology; body condition; data interpretation; decision making; grazing management; livestock farming; social structure; soil water; technological development; New Zealand; Animalia"
"Kaler J., Ruston A.","Technology adoption on farms: Using Normalisation Process Theory to understand sheep farmers’ attitudes and behaviours in relation to using precision technology in flock management",2019,"Preventive Veterinary Medicine","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067871647&doi=10.1016%2fj.prevetmed.2019.104715&partnerID=40&md5=148d9b741cd9a156daa91ad75892bb88","Evidence suggests that UK sheep farmers experience lower productivity and profit margins than other livestock sectors and that they do not necessarily know where they gain or lose income from their flocks. More efficient use of precision technology has been identified as a potential way of addressing this problem. The mandatory requirement for Electronic Identification (EID) tags to be placed on all sheep offers an opportunity for sheep farmers to adopt precision technologies to manage herd health and maximise production and profit. Although the charactistics of farmers that are associated with adoption or non adoption of technology have been identified little is known about the social processes, meanings and experiences that influence uptake. This paper is novel as it draws on data from 36 sheep farmers in the UK and applies Normalization Process Theory (NPT) to gain an understanding of the reasons they do or do not use EID related precision technology on their farms. The interviews were tape recorded, transcribed verbatim and analysed using NVivo. Although respondents acknowledged the potential value of precision technology to improve their farm businesses they appeared to have alternative beliefs that were counter productive. Their beliefs that using precision technology posed a threat to their role as a good stockman, that it could not replace the need for hands-on interaction with their animals and that it was costly and difficult to use created an implementation gap. The use of NPT as an evaluation framework provided a valuable tool for increasing the understanding of contextual characteristics that undermine the routine embedding of such technology by sheep farmers. The data suggests that normalisation of the use of precision technology amongst sheep farmers could potentially be increased if manufacturers/suppliers co-design and work with farmer's to ensure that the technology enables the farmer to be in control and operates as an aid to achieving high quality stockmanship rather than a mechanism for profit maximisation. © 2019 The Authors","Attitudes; Decision making; Flock management; Normalisation Process Theory; Precsion livestock farming; Sheep; Social science","adoption; adult; agricultural land; agricultural worker; animal experiment; article; decision making; embedding; female; genetic transcription; interview; livestock; male; nonhuman; profit; sheep; sociology; agricultural worker; animal; animal husbandry; animal identification; attitude; devices; England; human; middle aged; psychology; sheep; technology; veterinary medicine; Wales; Adult; Animal Husbandry; Animal Identification Systems; Animals; Attitude; England; Farmers; Female; Humans; Male; Middle Aged; Sheep; Technology; Wales"
