Authors,Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
"Manning J., Power D., Cosby A.","Legal complexities of animal welfare in australia: Do on-animal sensors offer a future option?",2021,"Animals","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099353552&doi=10.3390%2fani11010091&partnerID=40&md5=69abdcfd9c198e98716e101cadd30b8b","The five freedoms and, more recently, the five domains of animal welfare provide inter-nationally recognised frameworks to evaluate animal welfare practices which recognise both the physical and mental wellbeing needs of animals, providing a balanced view of their ability to cope in their environment. Whilst there are many techniques to measure animal welfare, the challenge lies with how best to align these with future changes in definitions and expectations, advances in science, legislative requirements, and technology improvements. Furthermore, enforcement of current animal welfare legislation in relation to livestock in Australia and the reliance on self-audits for accreditation schemes, challenges our ability to objectively measure animal welfare. On-animal sensors have enormous potential to address animal welfare concerns and assist with legislative compliance, through continuous measurement and monitoring of an animal’s behavioural state and location being reflective of their wellbeing. As reliable animal welfare measures evolve and the cost of on-animal sensors reduce, technology adoption will increase as the benefits across the supply chain are realised. Future adoption of on-animal sensors by producers will primarily depend on a value proposition for their business being clear; algorithm development to ensure measures are valid and reliable; increases in producer knowledge, willingness, and trust in data governance; and improvements in data transmission and connectivity. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Animal welfare; Five domains; Five freedoms; Legislation; Livestock; On-animal sensors; Precision livestock farming","adoption; agricultural worker; algorithm; animal welfare; Article; Australia; behavior; caloric intake; certification; clinical audit; clinical effectiveness; consumer attitude; cost effectiveness analysis; decision making; drug cost; food processing; grassland; human; internet connectivity; intervention study; knowledge; livestock; nonhuman; psychological well-being; quality of life; stakeholder engagement; total quality management; wildlife; Willingness To Pay"
"Neethirajan S.","The role of sensors, big data and machine learning in modern animal farming",2020,"Sensing and Bio-Sensing Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087483989&doi=10.1016%2fj.sbsr.2020.100367&partnerID=40&md5=3178ef7a156b95214054c85b5de8b906","Ever since man began domesticating animals several thousand years ago, we have always relied on our intuition, collective knowledge, and sensory signals to make effective animal production decisions. So far, this has helped us make significant gains in animal husbandry and farming. Together the growing demand for food and the advancement in sensing technology have the potential to make animal farming more centralized, large scale and efficient. It has the potential to change animal farming as we know it. At a broader level, this paper explores the challenges and opportunities that sensor technologies present in terms of helping animal farmers produce more meat and animal products. More specifically, this paper explores the role of sensors, big data, artificial intelligence and machine learning in helping animal farmers to lower production costs, increase efficiencies, enhance animal welfare and grow more animals per hectare. It also explores the challenges and limitations of technology. The paper reviews various animal farming technology applications to understand its value in helping farmers improve animal health, increase profits and lower environmental footprint. © 2020 The Author","Animal health; Precision livestock farming; Sensor systems; Smart farming; Well-being",
"Fote F.N., Roukh A., Mahmoudi S., Mahmoudi S.A., Debauche O.","Toward a big data knowledge-base management system for precision livestock farming",2020,"Procedia Computer Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099880447&doi=10.1016%2fj.procs.2020.10.021&partnerID=40&md5=a28410990095b2ec5b7b037d5c3aed18","Nowadays, we are in the era of advanced technologies where tremendous amount of data is produced by multiple sources such as sensors, devices, social media, user experiences, etc. Furthermore, this raw data has a low value, and major part is not really useful or important for business. One way to give an added value to this stored data is to extract useful knowledge from it, for the ending-system or the end-users by a process commonly called knowledge Discovery in Database (KDD). Smart Farming uses a large amount of connected technologies producing also a huge amount of data in order to maximize productions by reducing: human efforts, environment impact and wasting natural resources. In this paper, We develop a new data analytic architecture dedicated to Precision Livestock Farming (PLF) to improve in particular the livestock animals production, animals' welfare, and farming processes. We present a new data processing architecture for a knowledge-base management system (KBMS) allowing to ease decision support and monitoring operations that can help farmers and stakeholders to better exploit data and have a long-term view of the evolution of the knowledge it contains. Our main contribution in the present paper is a new architecture specifically developed for the precision livestock farming integrating a periodical data reevaluation which address the problematic of data conservation and the decrease in data value over time. © 2020 The Authors. Published by Elsevier B.V.","Big data; Databases; Knowledge discovery in databases; Knowledge-base management system; Precision livestock farming","Agriculture; Animals; Big data; Data handling; Data mining; Decision support systems; Knowledge based systems; Network architecture; User experience; Advanced technology; Data processing architecture; Decision supports; Environment impact; Knowledge Base Management System; Knowledge discovery in database; Livestock animals; Precision livestock farming; Information management"
"Rojo-Gimeno C., van der Voort M., Niemi J.K., Lauwers L., Kristensen A.R., Wauters E.","Assessment of the value of information of precision livestock farming: A conceptual framework",2019,"NJAS - Wageningen Journal of Life Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075450327&doi=10.1016%2fj.njas.2019.100311&partnerID=40&md5=58d6c10ef2d8215354f3a93da37a2f2e","Although precision livestock farming (PLF) technologies ensure various dimensions of more precise information, the question arises to what extent additional preciseness provides more value. Literature gives insufficient anchor points to estimate the value of information (VOI) obtained with PLF technologies. This study proposes a conceptual framework with building blocks to determine the VOI. Next, the framework is used to describe factors and existing gaps in the VOI assessment. This, finally, leads to reflections and recommendations about how to assess and improve the VOI of PLF. Literature reveals that the VOI surpasses the mere use of more precise information to take decisions, but encompasses a path from data collection to decisions with particular outcomes. The framework interlinks three building blocks: (i) data processing, (ii) decision making and (iii) impact analysis with factors influencing the VOI such as the process to transform data into information, level of precision, decision rules, social influences, the accuracy of information, herd size and prevalence of the condition measured. Besides profitability, outcomes from decisions include the impact on animal welfare, environment, food safety, and food security. The data-to-value framework allows for a better assessment of VOI and its potentials, and provides anchor points to design useful and valuable PLF technologies. The framework also helps to determine the role of advisors in interpreting the more precise information and in formulating farmer-tailored advice to apply the most optimal practices. Both technology design and advisors’ role may enhance the VOI of future PLF developments and applications. © 2019","Conceptual framework; Economic analysis; Precision livestock farming; Role of advisors; Value of information","accuracy assessment; assessment method; conceptual framework; data processing; detection method; economic analysis; livestock; livestock farming; technological development; Animalia"
"Norton T., Chen C., Larsen M.L.V., Berckmans D.","Review: Precision livestock farming: Building 'digital representations' to bring the animals closer to the farmer",2019,"Animal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072285246&doi=10.1017%2fS175173111900199X&partnerID=40&md5=bd23cde91c0caf704108d042812d69e1","Economic pressures continue to mount on modern-day livestock farmers, forcing them to increase herds sizes in order to be commercially viable. The natural consequence of this is to drive the farmer and the animal further apart. However, closer attention to the animal not only positively impacts animal welfare and health but can also increase the capacity of the farmer to achieve a more sustainable production. State-of-the-art precision livestock farming (PLF) technology is one such means of bringing the animals closer to the farmer in the facing of expanding systems. Contrary to some current opinions, it can offer an alternative philosophy to 'farming by numbers'. This review addresses the key technology-oriented approaches to monitor animals and demonstrates how image and sound analyses can be used to build 'digital representations' of animals by giving an overview of some of the core concepts of PLF tool development and value discovery during PLF implementation. The key to developing such a representation is by measuring important behaviours and events in the livestock buildings. The application of image and sound can realise more advanced applications and has enormous potential in the industry. In the end, the importance lies in the accuracy of the developed PLF applications in the commercial farming system as this will also make the farmer embrace the technological development and ensure progress within the PLF field in favour of the livestock animals and their well-being. © The Animal Consortium 2019.","image analysis; livestock production; sound analysis; technology","agricultural land; agricultural worker; animal; animal husbandry; animal welfare; economics; human; livestock; organization and management; procedures; Animal Husbandry; Animal Welfare; Animals; Farmers; Farms; Humans; Livestock"
"Halachmi I., Guarino M., Bewley J., Pastell M.","Smart Animal Agriculture: Application of Real-Time Sensors to Improve Animal Well-Being and Production",2019,"Annual Review of Animal Biosciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061669636&doi=10.1146%2fannurev-animal-020518-114851&partnerID=40&md5=e3bb2e791bfa56cf4b264c4a97c59196","Consumption of animal products such as meat, milk, and eggs in first-world countries has leveled off, but it is rising precipitously in developing countries. Agriculture will have to increase its output to meet demand, opening the door to increased automation and technological innovation; intensified, sustainable farming; and precision livestock farming (PLF) applications. Early indicators of medical problems, which use sensors to alert cattle farmers early concerning individual animals that need special care, are proliferating. Wearable technologies dominate the market. In less-value-per-animal systems like sheep, goat, pig, poultry, and fish, one sensor, like a camera or robot per herd/flock/school, rather than one sensor per animal, will become common. PLF sensors generate huge amounts of data, and many actors benefit from PLF data. No standards currently exist for sharing sensor-generated data, limiting the use of commercial sensors. Technologies providing accurate data can enhance a well-managed farm. Development of methods to turn the data into actionable solutions is critical. Copyright © 2019 by Annual Reviews. All rights reserved.","animal welfare; farm management; PLF; precision livestock farming","volatile organic compound; acoustics; agriculture; animal health; animal lameness; animal product; animal welfare; animal well-being; biochemical analysis; body constitution; body position; body temperature measurement; brucellosis; dairy cattle; electrocardiography; farming system; feeding behavior; food intake; global positioning system; heart rate variability; human; image analysis; imaging; indoor positioning; inflammation; insemination; milk production; nonhuman; outdoor positioning; pain assessment; photogrammetry; photography; precision livestock farming; Review; sound analysis; stress; support vector machine; sustainable agriculture; thermal imaging; training; vocalization; walking; animal; animal husbandry; devices; fishery; livestock; poultry; procedures; remote sensing; veterinary medicine; Animal Husbandry; Animal Welfare; Animals; Fisheries; Livestock; Poultry; Remote Sensing Technology"
"Waterhouse A.","Precision Livestock Farming (PLF) technology and real-time monitoring should improve welfare in extensive systems, but does it change the duty of care and require modification of welfare guidelines for livestock keepers?",2019,"Precision Livestock Farming 2019 - Papers Presented at the 9th European Conference on Precision Livestock Farming, ECPLF 2019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073755292&partnerID=40&md5=62c406569023cacc56abe138ac365767","Improvements in animal welfare are frequently quoted for Precision Livestock Farming (PLF) technology. Extensive systems have significant and challenging welfare risks, very different from intensive systems. Predation, weather, food and water deprivation, internal and external parasites can all impact on these systems, with the animals very self-dependent. Inspection opportunities are very different. Welfare codes and supporting legal obligations are adapted to extensive and difficult environments and often have vague recommendations for inspection frequency. There are clear opportunities for PLF technologies, notably wearables, to provide more information to stockpeople, improving welfare and reducing risk. Communications from animal to stockpeople via GSM or LPWAN enables real-time monitoring (RTM) for illness, such as lameness (with IMU), for mis-mothering (with proximity), for straying away from preferred areas and/or into dangerous areas (with location technology such as GNSS), for predation/worrying from wild animals/domestic dogs (with GNSS and/or IMU). These can signify need for action or assurance for no action. However, wearables have welfare risks. Research-user experiences confirm direct welfare risks through physical damage from equipment. With infrequent inspection, small issues can become larger. There are additional animal energy demands of heavier wearables. The conservation science community note impacts of wearables for survival and reproductive success. Good design and low weight are critical issues for commercialisation. False-positive alerts and reports could involve considerable wasted time by stockpeople and new value judgements may be needed. Without RTM-based PLF, the animal could face welfare challenges or be in a poor welfare state, about which the stockperson has no knowledge, and with infrequent inspections, this state may continue or worsen. With RTM based PLF, then the stockperson should know and logically has a changed duty of care and responsibility to act upon this information. © Precision Livestock Farming 2019 - Papers Presented at the 9th European Conference on Precision Livestock Farming, ECPLF 2019. All rights reserved.","Extensive; Labour; Wearables; Welfare","Animals; Inspection; Real time systems; Wearable technology; Conservation science; Extensive; Inspection frequency; Labour; Precision livestock farming; Reproductive success; Wearables; Welfare; Agriculture"
"Da Cruz V.F., Charneca R., Baptista F., Morgado T., Martins C., Rico J.C., Botas D.","Development of a PLF tool in order to assure welfare conditions for growing pigs",2019,"Precision Livestock Farming 2019 - Papers Presented at the 9th European Conference on Precision Livestock Farming, ECPLF 2019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073735358&partnerID=40&md5=0dbe59edae4e3e5dc750cd5c6cefffaf","The application of different technological innovations in the intensive systems of pig production has generated some problems related to health and animal welfare. The animal welfare can be measured with indicators capable of expressing the animals' adaptability to the environment. Temperature is one of the main components of the environment, since it influences the physiology, behaviour and productivity of the pigs. The first phase of this study aims to verify the adaptive evolution to different environmental conditions (summer, thermoneutrality and winter) in growing and fattening pigs. Seven females (initial weight: 45 kg) were used. The animals were housed in a room equipped with an environmental control system. The environmental data collected were temperature and relative humidity. The physiological parameters measured were surface and rectal temperature. The feed intake was monitored through an individual feed machine. In order to monitor the behaviour of animals, video cameras and microphones were installed. The final weight of the animals was about 95 kg. Respectively in summer, thermoneutrality and winter, the daily food intake was 2.111 kg day-1; 2.473 kg day-1; 2.814 kg day-1 and the average daily gain was 0.768 kg day-1; 0.923 kg day-1; 0.808 kg day-1. The corresponding values of surface temperature were 36.2 ºC; 33.6 ºC and 35.2 ºC and of body temperature were 38.9 ºC, 38.7 ºC and 38.4 ºC. In order to validate the methodology and some results, the second phase of the project will be in a commercial farm, where the animals are submitted to real conditions. © Precision Livestock Farming 2019 - Papers Presented at the 9th European Conference on Precision Livestock Farming, ECPLF 2019. All rights reserved.","Animal welfare; Environmental control; Pigs; PLF","Environmental management; Mammals; Nutrition; Physiological models; Physiology; Video cameras; Animal welfare; Environmental conditions; Environmental control; Environmental control system; Physiological parameters; Pigs; Technological innovation; Temperature and relative humidity; Agriculture"
"Gremmen B.","A moral Operating System of livestock farming",2017,"Pragmatism Today","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042559396&partnerID=40&md5=4aaa63f30416af2acc612f46e8eb27dd","Societal views about livestock production systems in Europe are changing dramatically in a negative direction. Based on the tradition of pragmatism in applied philosophy I develop a Moral Operating System of animal production systems in cooperating a plurality of ethical views. This moral operating system of animal production systems consists of two interactive, dynamic parts: an internal professional care ethics combined with an emergent ethics in life sciences enabling change by responsible innovation, and external ethical boundary conditions based on societal values and concerns in animal ethics and environmental ethics. I focus on the emergent ethics in life sciences because it most normative ethical theories have problems in dealing with the future. In moral reasoning about innovations in the making, the relevant moral facts and the appropriate principles are more or less still unknown, as also the relevant moral consequences. Only by doing ethics in life sciences in future projects will the moral dilemmas emerge in the trajectories of responsible innovation like molecular technologies in animal sciences and precision livestock farming. © 2017, Central European Pragmatist Forum.",,
"Van Der Weerdt C., Paradies G., Vonder M.","Connecting the business model’s value proposition to farmer adoption of precision farming apps",2017,"Precision Livestock Farming 2017 - Papers Presented at the 8th European Conference on Precision Livestock Farming, ECPLF 2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060628351&partnerID=40&md5=c80a9096012f62ad1108c885a17e2404","Broader than just the financial picture of the business case, the business model defines how a product or service becomes of value for a customer; what is on offer, for whom specifically, how is it distributed, with what partners, components and resources. Moreover, innovations of a profoundly impactful nature on someone’s daily work processes, such as precision dairy farming, are never adopted solely on financial grounds. For a farmer, new technologies should also adhere to beliefs and perceptions of, for instance, usefulness, reliability, attractiveness, or effect on wellbeing. These factors –together with many others-constitute the so-called ‘user experience’. This is a matter of design, and is closely connected to the most important component of the business model: the value proposition. For creators of precision farming applications, for instance, it is crucial to design in such a way that farmer adoption is most likely, because it is being valued by them. In a current project on precision dairy farming (PDF), research on user experience and the optimal value proposition for PDF applications, has resulted in two guiding tools for PDF application developers: storyboards and user experience design principles. The storyboards show how an app becomes of value in the daily life of different types of farmers, whereas the design principles are a basis for the IT development of an app. In designing applications for dairy farming practices these tools are proposed to be used as a basis. © 2017 European Conference on Precision Livestock Farming. All rights reserved.","Design; Precision dairy farming; Storyboards; User experience; Value proposition","Design; Application developers; Business modeling; Dairy farming; Design Principles; Storyboards; User experience; User experience design; Value proposition; Agriculture"
